"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1785092859995328943","Mon Apr 29 23:44:37 +0000 2024","2","Setuju soal pengamanan ekonomi RI tapi ya liat skala masif tidaknya. Di BeaCukai yg direcoki itu kan rakyat biasa yg uangnya tak berapa itu. Coba beraniin terus sasar pengemplang pajak internal pejabat pajak sendiri para koruptor yg jelas rugikan negara triliunan!","1785092859995328943","","","in","indonesia ~ turkey","0","0","0","https://x.com/_bje/status/1785092859995328943","123150908","_bje"
"1784870806113120564","Mon Apr 29 23:35:30 +0000 2024","0","@tvOneNews Kalo Saldi Isra mengatakan hal krn ada banyak pengadilan yg handel masalah tsb lalu departemen mana yg mewakili BC? Juru bicara BC digaji oleh rakyat tapi kerja macam tukang jaga toilet SPBU @beacukaiRI @Warta_BeaCukai @smindrawatii @jokowi","1785090562657575202","","tvOneNews","in","Hongkong China","0","0","0","https://x.com/johnguntoro/status/1785090562657575202","68744564","johnguntoro"
"1784882373823508522","Mon Apr 29 23:32:20 +0000 2024","0","@ainunnajib @beacukaiRI @prastow Beres masalah tp tetap memicu cibiran publik. Gila sih ini institusi inkompeten @prastow Mana kesannya jd beacukai yg nyumbang itu difoto gatau MALU!!!","1785089766821921244","","ainunnajib","in","Bandung, Jawa Barat","0","0","0","https://x.com/penyintaswaktu/status/1785089766821921244","453512256","penyintaswaktu"
"1785086538982031379","Mon Apr 29 23:24:28 +0000 2024","1","@did1k Rasanya sih sulit ya membuka mata mereka kalo ada beberapa barang itu ga kita beli tapi hadiah atau bahkan di kasih. Barang2 merch hacktoberfest gamejam ctf hadiah kantor kalo kerja remote banyak yang ketahan di beacukai karena masalah fiskal yang asal tembak","1785087787844448595","","did1k","in","Jakarta","0","1","0","https://x.com/mattivityroom/status/1785087787844448595","742185389302026242","mattivityroom"
"1785085303814008895","Mon Apr 29 23:14:36 +0000 2024","0","Sudahkah anda merujak Jerome Polin dan/atau Beacukai?","1785085303814008895","","","in","deep space nine","0","0","0","https://x.com/parkerplak/status/1785085303814008895","1758399739245326336","parkerplak"
"1784973953079083129","Mon Apr 29 22:53:31 +0000 2024","0","@kikysaputrii Harusnya utk beacukai","1785079999776838052","","kikysaputrii","in","gajahmungkur smg","0","0","0","https://x.com/amattamrin86/status/1785079999776838052","1279737757","amattamrin86"
"1785075299702677619","Mon Apr 29 22:49:34 +0000 2024","0","@republikaonline Udah sih. Tuh beacukai dan petugas pajak.","1785079005189935308","","republikaonline","in","Temanggung-Yogyakarta","0","0","0","https://x.com/afiiitz10/status/1785079005189935308","66356758","afiiitz10"
"1784880906525970507","Mon Apr 29 22:40:26 +0000 2024","0","@KompasTV Orang beacukai emangnya kena spech delay ?","1785076708024234291","","KompasTV","in","","0","0","0","https://x.com/GinaOkta16/status/1785076708024234291","1569674642373345280","GinaOkta16"
"1784851146475270255","Mon Apr 29 22:40:01 +0000 2024","0","@prastow oleh oleh dari sana semoga ngak kebegal di beacukai.","1785076600796836321","","prastow","in","","0","0","0","https://x.com/refkialfian/status/1785076600796836321","1177129367362650112","refkialfian"
"1784922175239327749","Mon Apr 29 22:39:43 +0000 2024","1","@ahcegil @tanyarlfes Sekarang nyangkutnya di beacukai kak ","1785076526763114841","","ahcegil","in","","0","0","0","https://x.com/sooyimyim/status/1785076526763114841","1591570710085783553","sooyimyim"
"1785076523826831576","Mon Apr 29 22:39:43 +0000 2024","0","patut diapresiasi meskipun kalah.. Ayo tetep kembali ngantemi BeaCukai.. wkwk","1785076523826831576","","","in","🌊","0","0","0","https://x.com/ynrvvib/status/1785076523826831576","107407327","ynrvvib"
"1785076446723215650","Mon Apr 29 22:39:24 +0000 2024","0","Beacukai ama pajak kalau gak korupsi mungkin negara kita udah maju. Asli dahh","1785076446723215650","","","in","","0","0","0","https://x.com/mubadminton/status/1785076446723215650","1462647613254078466","mubadminton"
"1784910646318121459","Mon Apr 29 22:11:58 +0000 2024","0","@PDI_Perjuangan atau ksh tau bu sri di internernal beacukai bikin database harga produk yg harganya fluktuatif nilai barang tiap tahunnya. jadi pegawai sluruh indo gk asal comot dr google harga barang yg bs bikin masalah serupa. trutama tambahin tim milenial utk update harga barang yg lg hype","1785069542915678531","","ngekaoo98_owei","in","","0","0","0","https://x.com/ngekaoo98_owei/status/1785069542915678531","1693913397493137408","ngekaoo98_owei"
"1784910646318121459","Mon Apr 29 22:01:10 +0000 2024","0","@PDI_Perjuangan kasian bu srimulyani sampe jd jubir beacukai bwt selesein masalah. bu sri ngurusin negara dr keuangan negara saksi di sidang pemilu di MK sampe ngurusin sepatu orang yg ketahan di beacukai. emang itu pejabat beacukai gk ada yg mampu ambil kputusan ttg spatu smpe bu sri turun?","1785066823727427640","","PDI_Perjuangan","in","","0","1","0","https://x.com/ngekaoo98_owei/status/1785066823727427640","1693913397493137408","ngekaoo98_owei"
"1785060298455462130","Mon Apr 29 21:35:14 +0000 2024","1","Saatnya MASSBIN IPHONE kembali ke timeline anda! Sold before post 12 mini 64gb beacukai Ready 24jam bukan gimmick mbo telfon stok ready PCB (Pantau Cocok Bayaran) bukan (Pesona Cewe Bondol) akhhh itu diaa Sarapan sarapan sik ndak ngewel https://t.co/0OzHjhtQnV","1785060298455462130","https://pbs.twimg.com/media/GMXO2TwWkAAxykc.jpg","","in","Kudus, Indonesia","0","1","0","https://x.com/massbinbakol/status/1785060298455462130","1334713945765027840","massbinbakol"
"1785057795034787989","Mon Apr 29 21:25:17 +0000 2024","0","Wkwkwk beacukai","1785057795034787989","","","in","전세계","0","0","0","https://x.com/rara_1302/status/1785057795034787989","1445642812695793664","rara_1302"
"1785054794258043130","Mon Apr 29 21:20:02 +0000 2024","4","@alisyarief Kalo MK toilet umum kalo beacukai keranjang sampah intinya satu objek pengandaiannya sama2 bau","1785056470893031435","","alisyarief","in","Planeta Rica, Colombia","0","0","0","https://x.com/5teV3n_Pe9eL/status/1785056470893031435","224431376","5teV3n_Pe9eL"
"1784955438456566050","Mon Apr 29 21:17:41 +0000 2024","1","@Rama_aditya1918 Wihh bisa bisanya ketipu Ram Sing ati ati wae lak blanja onlen Biyen aku ya meh ketipu tapi tak pikir harga 3kaos dri luar negri yg ga seberapa itu kena beacukai klo gasalah meh 1 juta sedang harga kaos 500k. Akhire tak wa lah balekne wae kaose drpd byr dgn hara ga masuk akal","1785055880943145362","","Rama_aditya1918","in","Central Java, Indonesia","0","1","0","https://x.com/asmarakacau_24/status/1785055880943145362","1465613941199884289","asmarakacau_24"
"1784908574352876017","Mon Apr 29 20:21:10 +0000 2024","2","@RadioElshinta ketololan yang ditunjukan secara terang2an kerja beacukai apa? kok baru tau setelah satu tahun ada di gudang? apa nunggu duit masuk dulu baru di bebasin atau nunggu rakyat yg bergerak?","1785041658343743583","","RadioElshinta","in","","0","0","0","https://x.com/toniwicaks57942/status/1785041658343743583","1744944162091446272","toniwicaks57942"
"1785041319779537235","Mon Apr 29 20:19:49 +0000 2024","0","gelutin aja pls beacukai","1785041319779537235","","","in","(￣^￣)","0","0","0","https://x.com/raytasyu/status/1785041319779537235","1866968005","raytasyu"
"1785040635348840877","Mon Apr 29 20:17:06 +0000 2024","0","wkwkkw cita cita gua kerja di beacukai lg dulu","1785040635348840877","","","in","(￣^￣)","0","0","0","https://x.com/raytasyu/status/1785040635348840877","1866968005","raytasyu"
"1784913686160908786","Mon Apr 29 20:14:17 +0000 2024","0","@Joker_Ulosowo kalo ada yg bilang petugas beacukai ramah2 tai kebo!!! kecuali lu punya jabatan atau duit lu banyak","1785039927358697624","","Joker_Ulosowo","in","","0","0","0","https://x.com/toniwicaks57942/status/1785039927358697624","1744944162091446272","toniwicaks57942"
"1784922175239327749","Mon Apr 29 20:10:32 +0000 2024","0","@sebutir_baja @tanyarlfes Minimal harus bayar 5jt sih kalo udah di beacukai ","1785038982876934468","","sebutir_baja","in","","0","0","0","https://x.com/RChristy92/status/1785038982876934468","1615749826611924992","RChristy92"
"1784761169645076818","Mon Apr 29 19:49:43 +0000 2024","0","@VIDIGARIBALDI1 @CNNIndonesia Benarkah ini wahai @beacukaiRI @beacukai_batam @beacukaisoetta @BeaCukaiJogja @beacukaiSabang_","1785033745315283445","","VIDIGARIBALDI1","in","","0","0","0","https://x.com/FashionIin/status/1785033745315283445","1519252466281623552","FashionIin"
"1785033348240572610","Mon Apr 29 19:48:09 +0000 2024","0","Indonesia sengaja kalah supaya GK bawa pulang piala sebab kalo bawa pulang piala disuruh bayar bea masuk sama dirjen beacukai.","1785033348240572610","","","in","","0","0","0","https://x.com/pertalitelangka/status/1785033348240572610","82378323","pertalitelangka"
"1784761169645076818","Mon Apr 29 19:46:29 +0000 2024","0","@Reza_0505820 @CNNIndonesia Apa ini benar wahai @beacukaiRI @beacukai_batam @beacukaisoetta @beacukaipriok @BeaCukaiJogja @beacukaiSabang_ Semoga dari seksian ygdi tag...ADA YG BERKENAN MERESPON","1785032928550162641","","Reza_0505820","in","","0","0","0","https://x.com/FashionIin/status/1785032928550162641","1519252466281623552","FashionIin"
"1785003531688402971","Mon Apr 29 19:43:58 +0000 2024","0","@aimr0d Pegawai beacukai jangan dilupain","1785032296078463250","","aimr0d","in","Jakarta Utara, DKI Jakarta","0","0","0","https://x.com/ikyprtama/status/1785032296078463250","846749123457908736","ikyprtama"
"1785030757888712915","Mon Apr 29 19:37:51 +0000 2024","0","Ketahan beacukai maksudnya import kah jodohnya","1785030757888712915","","","in","Seoul, Republic of Korea","0","0","0","https://x.com/jieuniwon/status/1785030757888712915","2925681044","jieuniwon"
"1785030137756721329","Mon Apr 29 19:35:23 +0000 2024","2","mas @gibran_tweet kalo sudah dilantik jadi wapres tolong bersih bersih di beacukai atau di rombak semua sistem nya ya","1785030137756721329","","","in","Jakarta Barat, DKI Jakarta","0","0","0","https://x.com/bpras__/status/1785030137756721329","1150107329431347201","bpras__"
"1784864021906436204","Mon Apr 29 19:27:56 +0000 2024","0","@TirtoID Lalu kenapa Persoalan itu sampe terjadi Pada Beacukai..? Apakah memang sdh bgtu Berat dan banyak persoalan kinerja di instansi tsb ?","1785028261933887822","","TirtoID","in","Indonesia","0","0","0","https://x.com/enot_inot/status/1785028261933887822","596108393","enot_inot"
"1784918002166882454","Mon Apr 29 19:09:28 +0000 2024","0","@prastow inti dari tulisan ini beacukai tidak salah dalam hal² yang heboh belakangan ini semua ini terjadi karena ketidak tahuan masyarakat tentang prosedur kepabean Indonesia tabek ","1785023615655928268","","prastow","in","","0","0","0","https://x.com/DanyputraPutra1/status/1785023615655928268","1425779779932884998","DanyputraPutra1"
"1784919523197645173","Mon Apr 29 19:09:14 +0000 2024","0","@ARSIPAJA Ga ada tindakan buat beacukai wkwkwk sampah","1785023554284871722","","ARSIPAJA","in","","0","0","0","https://x.com/s0medaywell/status/1785023554284871722","1686492767185403904","s0medaywell"
"1784922175239327749","Mon Apr 29 18:46:03 +0000 2024","0","@sebutir_baja @tanyarlfes Setelah di Cakung tercipta Beacukai","1785017721039806526","","sebutir_baja","in","Jakarta Pusat, DKI Jakarta","0","0","0","https://x.com/Jiyaaaaaaaaaa01/status/1785017721039806526","1633115106660720642","Jiyaaaaaaaaaa01"
"1784940958351802836","Mon Apr 29 18:38:26 +0000 2024","0","@Boediantar4 Gak bisa palakin rupanya Doa anak2 pelajar di SLB lebih dahsyat sampe Pihak Beacukai lupa akan kebaikan yang harus di berikan kepada sesama manusia apalagi mereka2 yang berkebutuhan khusus ya. Beacukai bisa kita bilang Salah malakin ya...","1785015806210007127","","Boediantar4","in","","0","0","0","https://x.com/AyuSasmiya/status/1785015806210007127","1782813475309514753","AyuSasmiya"
"1785009787643814228","Mon Apr 29 18:14:31 +0000 2024","0","energiku keserap bangettt dari pagi lihat kasus yg kipk beacukai trus bolaa hhhh","1785009787643814228","","","in","space","0","0","0","https://x.com/neptuneeed/status/1785009787643814228","1277790303567482881","neptuneeed"
"1784873928046813242","Mon Apr 29 18:14:24 +0000 2024","1","@goaticid @beacukaiRI @beacukaitemas Beacukai","1785009755406340271","","goaticid","in","","0","1","0","https://x.com/HSobat37667/status/1785009755406340271","1778983909826646016","HSobat37667"
"1785007051099591161","Mon Apr 29 18:05:42 +0000 2024","0","Rakyat yg orang awam komplen wajarlah. Ya kali dia yg kompeten nanya solusi Jgn ampe dijawab bubarin aja beacukai preman elit ","1785007565279305802","","bbydolpin09","in","","0","1","0","https://x.com/bbydolpin09/status/1785007565279305802","1431837708435873800","bbydolpin09"
"1785007051099591161","Mon Apr 29 18:03:39 +0000 2024","0","Beda lah bang yg bener aja luh. Gajinya beda. Pengetahuannya beda. Mereka orang2 kompeten bro. Kasus beacukai asal-asalan ngasih tarif udah banyak. Cuma apes aja netizen udh pinter dan udah melek soal beginian","1785007051099591161","","","in","","0","1","0","https://x.com/bbydolpin09/status/1785007051099591161","1431837708435873800","bbydolpin09"
"1785007013011054655","Mon Apr 29 18:03:30 +0000 2024","61","beacukai indo dzalim banget innalillahi apa rasanya ya disumpahin orang setiap hari","1785007013011054655","","","in","","0","6","10","https://x.com/cxnnamonroll/status/1785007013011054655","1074507424839610368","cxnnamonroll"
"1785006053828256177","Mon Apr 29 17:59:41 +0000 2024","0","Public enemy 2024 : 1. Wasit uzbek vs indo 2. Var 3. Beacukai 4. Jerome","1785006053828256177","","","in","","0","0","0","https://x.com/citeremde/status/1785006053828256177","1155317341112037376","citeremde"
"1784620503594123581","Mon Apr 29 17:58:12 +0000 2024","0","@rektrektrekt123 @idextratime Itu duit sumbangannya buat nebus trophy ke beacukai ","1785005681562804311","","rektrektrekt123","in","Bogor, Jawa Barat","0","1","0","https://x.com/Bedebah_21/status/1785005681562804311","161767278","Bedebah_21"
"1785004166865412128","Mon Apr 29 17:52:11 +0000 2024","1","Beacukai pernah dibekukan zaman pak harto kenapa tidak zaman now. Semua pegawai beacukai ganti dari atas sampai bawah. Latih wajib militer dan terjun payung.","1785004166865412128","","","in","Kota Tasikmalaya, Jawa Barat","0","0","0","https://x.com/Neonboxyellow/status/1785004166865412128","259119366","Neonboxyellow"
"1784870459470664110","Mon Apr 29 17:49:41 +0000 2024","0","@ARSIPAJA Beacukai ini ngincer masyarakat menengah ke atas ga mungkin rakyat menengah ke atas turun demo tuh ga mungkin tapi bisa aja nanti ni org kaya pada gedeggggg sama becuki endingnya kalo org kaya/mafia/koruptor pada kena kasus enaknya tumbalin aja si becuki daripada ","1785003534704107557","","tiata_","in","","0","1","0","https://x.com/tiata_/status/1785003534704107557","1018342063291621376","tiata_"
"1784895735479112059","Mon Apr 29 17:47:38 +0000 2024","0","@muh_izzan Anak HI yang gak pernah berurusan dg beacukai be like: (Aku)","1785003020339777982","","muh_izzan","in","Free Pads UGM (๑･̑◡･̑๑)","0","0","0","https://x.com/cursingname/status/1785003020339777982","1594326252810211328","cursingname"
"1784829681570828724","Mon Apr 29 17:46:17 +0000 2024","0","@niwseir @beacukaiRI @prastow @ItjenKemenkeu Sesekali audit kek orang-orang Beacukai ini","1785002681943330856","","niwseir","in","Paciran, Indonesia","0","0","0","https://x.com/wzwzwszs/status/1785002681943330856","1326917590380326912","wzwzwszs"
"1784883321098428854","Mon Apr 29 17:36:55 +0000 2024","0","@medyrenaldy_ Ini serius nih gaada yg tindak tegas oknum oknum beacukai? Ada aja kasus berbeda yang ter up setiap harinya ","1785000322978734435","","medyrenaldy_","in","","0","0","0","https://x.com/kimeouw/status/1785000322978734435","786388194","kimeouw"
"1785000133186478162","Mon Apr 29 17:36:10 +0000 2024","0","Beacukai","1785000133186478162","","","in","Stayville","0","0","0","https://x.com/leebitez/status/1785000133186478162","574574203","leebitez"
"1784918002166882454","Mon Apr 29 17:35:00 +0000 2024","0","@mainsaham @prastow DHL itu sbg PPJK jadi dia itu pihak ketiga yang mewakili importir untuk berhubungan dgn Beacukai. Saya yakin itu DHL reminder terus selama satu bulan penuh ke pihak importir utk diurus perizinan impornya sesuai permintaan Bea Cukai ","1784999840646357080","","mainsaham","in","Bandung, Jawa Barat","0","2","0","https://x.com/yuliaanti94/status/1784999840646357080","364609056","yuliaanti94"
"1784999126805229964","Mon Apr 29 17:32:10 +0000 2024","0","Overall minggu iki sg nggateli 1. BeaCukai 2. Pajek 3. Wasit Qatar vs Indo 4. Wasit Indo vs Uzbek","1784999126805229964","","","in","","0","1","0","https://x.com/bosbesarallaam/status/1784999126805229964","1198986522327834624","bosbesarallaam"
"1784918002166882454","Mon Apr 29 17:24:37 +0000 2024","0","@prastow Hapus aja BeaCukai! udah gk Relevan! harga komputer jadi Mahal-Mahal! padahal klo beli di SG jadi Murah! ","1784997227364278412","","prastow","in","","0","0","0","https://x.com/UseKidd/status/1784997227364278412","1672969690703081474","UseKidd"
"1784918002166882454","Mon Apr 29 17:23:06 +0000 2024","11","@prastow @kangopek dan saya yakin beacukai tidak punya tempat penyimpanan barang2 yg mandek ini secara proper terukur dan sistematis","1784996845883887784","","bhrewisesa","in","Surabaya Tengah","0","1","0","https://x.com/bhrewisesa/status/1784996845883887784","1258655710151237632","bhrewisesa"
"1784922175239327749","Mon Apr 29 17:20:51 +0000 2024","0","@tanyarlfes nder mahkota ny ketahan di beacukai","1784996279845785911","","tanyarlfes","in","","0","0","0","https://x.com/nasywaas4/status/1784996279845785911","1249151885799346176","nasywaas4"
"1784996100887470313","Mon Apr 29 17:20:08 +0000 2024","0","King indo gak takut apapun kecuali beacukai","1784996100887470313","","","in","","0","0","0","https://x.com/beneatlh/status/1784996100887470313","1690049207615582208","beneatlh"
"1784829681570828724","Mon Apr 29 17:17:12 +0000 2024","0","@niwseir @beacukaiRI @prastow @ItjenKemenkeu soal kualitas dalam mendengarkan keluhan dan mencari jalan keluar secara bijak beacukai masih kalah jauh sama kurir shopee kalo sekiranya gakuat mental kerja di bidang public service mending resign aja tot bukannya malah nyusahin orang.","1784995361553256647","","niwseir","in","","0","0","0","https://x.com/ardyalinggom/status/1784995361553256647","819531265","ardyalinggom"
"1784919523197645173","Mon Apr 29 17:15:31 +0000 2024","0","@ARSIPAJA Beacukai ni ya caperrr","1784994937131634840","","ARSIPAJA","in","","0","0","0","https://x.com/Nara_Ashida/status/1784994937131634840","1705979788920524800","Nara_Ashida"
"1784994527335604471","Mon Apr 29 17:13:53 +0000 2024","0","berarti selain salah wasit kekalahan timnas ini salah beacukai","1784994527335604471","","","in","Konohagakure","0","0","1","https://x.com/YOSH1PHOP/status/1784994527335604471","1667939382547087360","YOSH1PHOP"
"1784992585347686732","Mon Apr 29 17:10:43 +0000 2024","0","@prastow Pentingnya komunikasi dan sinergi antara beacukai dan PJT terkait. Klo PJT cuma dilepas ya nanti pemahaman akan beda² lagi","1784993731613204961","","prastow","in","Solo tengah-tengah","0","0","0","https://x.com/HeyOm_Oky/status/1784993731613204961","1394988880110133251","HeyOm_Oky"
